Geneid	A8_sensitive_sorted.bam	A9_sensitive_sorted.bam	A10_sensitive_sorted.bam	A11_sensitive_sorted.bam	A12_resistant_sorted.bam	A13_resistant_sorted.bam	A14_resistant_sorted.bam	A15_resistant_sorted.bam
transcript:EMLSAT00000003388	1660	1398	1673	1573	1560	1184	1036	855
transcript:EMLSAT00000003389	2410	2243	2529	2229	2895	2180	2024	2383
transcript:EMLSAT00000003390	573	475	582	527	625	451	444	569
transcript:EMLSAT00000003391	436	359	409	485	395	521	369	413
transcript:EMLSAT00000003392	319	347	346	296	369	312	267	356
transcript:EMLSAT00000003393	99	114	82	139	45	57	97	73
transcript:EMLSAT00000003394	97	97	99	26	129	57	111	87
transcript:EMLSAT00000003395	81	74	65	66	110	60	71	100
transcript:EMLSAT00000003396	388	163	680	464	783	444	593	537
transcript:EMLSAT00000003382	0	2	0	0	0	0	0	0
transcript:EMLSAT00000003383	2	0	0	0	0	1	0	0
transcript:EMLSAT00000003384	4	0	0	0	0	0	0	2
transcript:EMLSAT00000003402	0	0	0	0	0	0	0	0
transcript:ENSRNA022737792-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003403	1415	928	1476	1313	1628	1293	1649	1320
transcript:EMLSAT00000003404	622	459	603	501	654	500	597	531
transcript:EMLSAT00000003405	5353	5114	4596	4500	4019	4778	4097	3830
transcript:EMLSAT00000003406	41	30	31	52	35	59	39	37
transcript:EMLSAT00000003407	309	197	223	247	255	183	215	188
transcript:EMLSAT00000003408	902	771	842	846	960	873	919	969
transcript:EMLSAT00000003409	3113	1338	3926	3570	3784	3865	3536	3511
transcript:EMLSAT00000003410	736	149	1074	1122	1109	1009	1075	1005
transcript:EMLSAT00000003411	792	1061	668	1372	637	1203	809	877
transcript:EMLSAT00000003412	697	1618	1302	2278	985	1829	1384	1422
transcript:EMLSAT00000003413	119	35	103	80	55	88	21	86
transcript:EMLSAT00000003414	19	56	48	30	19	42	27	25
transcript:EMLSAT00000003415	1	0	0	0	0	0	0	0
transcript:EMLSAT00000003398	1139	698	1306	1123	984	1085	983	1049
transcript:EMLSAT00000003399	54	82	109	25	48	75	51	89
transcript:EMLSAT00000003401	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003400	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003422	19	11	6	2	26	19	12	8
transcript:EMLSAT00000003421	65	78	88	66	108	88	85	73
transcript:EMLSAT00000003423	92	99	51	57	105	139	78	88
transcript:EMLSAT00000003424	210	164	226	324	149	175	130	195
transcript:EMLSAT00000003425	1548	1178	2045	1623	2316	1838	1737	1883
transcript:EMLSAT00000003426	1069	622	1638	1617	1354	1714	1359	1631
transcript:EMLSAT00000003427	448	415	267	286	173	153	262	297
transcript:EMLSAT00000003428	152	75	104	134	88	97	95	95
transcript:EMLSAT00000003429	1256	862	982	775	970	782	705	783
transcript:EMLSAT00000003430	1554	893	2860	2408	2480	2636	2299	2205
transcript:EMLSAT00000003431	518	402	491	530	537	491	474	489
transcript:EMLSAT00000003432	0	0	2	0	0	0	0	0
transcript:EMLSAT00000003433	2	0	0	0	0	0	0	0
transcript:EMLSAT00000003434	1	0	0	1	0	0	0	0
transcript:EMLSAT00000003435	1438	902	2141	1853	1852	1717	1696	1657
transcript:EMLSAT00000003436	66	85	147	89	80	91	130	82
transcript:EMLSAT00000003437	922	678	650	589	641	574	583	622
transcript:EMLSAT00000003438	1483	1217	1257	1142	1496	1311	1143	1138
transcript:EMLSAT00000003439	1485	1183	1470	945	1342	1027	1039	1028
transcript:EMLSAT00000003440	34	39	52	42	20	56	32	48
transcript:EMLSAT00000003441	2155	1978	2313	2382	2164	1876	1917	2119
transcript:EMLSAT00000003442	374	425	340	349	413	298	344	418
transcript:EMLSAT00000003443	4232	2832	4928	4553	4809	4785	4321	4447
transcript:EMLSAT00000003444	3432	5809	2966	2175	4507	4141	3188	3176
transcript:EMLSAT00000003445	9998	19102	12622	7521	21853	18285	15090	13358
transcript:EMLSAT00000003446	31	17	14	6	18	13	16	6
transcript:EMLSAT00000003447	4017	3169	3304	2966	3578	4950	2896	3392
transcript:EMLSAT00000003448	905	571	1285	1290	1414	1383	1107	1312
transcript:EMLSAT00000003449	5	0	6	8	3	14	6	1
transcript:EMLSAT00000003450	934	987	1050	971	975	971	777	736
transcript:EMLSAT00000003416	7386	4038	11805	7963	10126	9283	5833	6723
transcript:EMLSAT00000003417	10	2	40	29	41	52	33	34
transcript:EMLSAT00000003420	50	11	30	67	34	39	54	19
transcript:EMLSAT00000003419	103	61	77	306	56	110	167	86
transcript:EMLSAT00000003418	0	0	1	0	0	1	0	1
transcript:EMLSAT00000003457	34	42	128	97	158	81	92	70
transcript:EMLSAT00000003458	8	1	2	3	2	4	6	5
transcript:EMLSAT00000003459	8	10	13	8	12	10	9	10
transcript:EMLSAT00000003451	0	4	6	6	5	3	3	11
transcript:ENSRNA022721255-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003452	3860	3072	4381	5032	3983	3576	2490	3627
transcript:EMLSAT00000003454	39	61	164	170	100	232	159	206
transcript:EMLSAT00000003453	6	6	39	28	32	33	55	39
transcript:EMLSAT00000003455	26	23	34	20	66	40	51	80
transcript:EMLSAT00000003456	36	26	44	23	22	36	15	46
transcript:EMLSAT00000003664	8	26	6	2	4	5	4	23
transcript:EMLSAT00000003682	446	360	608	484	622	419	538	415
transcript:EMLSAT00000003663	1241	1406	931	856	1050	923	699	938
transcript:EMLSAT00000003667	223	204	194	361	185	209	177	258
transcript:EMLSAT00000003665	510	388	669	549	617	668	561	702
transcript:EMLSAT00000003666	4594	4023	4431	3936	5039	4652	3780	4133
transcript:EMLSAT00000003668	2318	1788	2077	1744	2874	1408	1439	1558
transcript:EMLSAT00000003669	6797	5716	7994	4948	9033	4776	4735	5237
transcript:EMLSAT00000003670	698	627	741	701	814	655	571	530
transcript:EMLSAT00000003671	23972	26030	15988	12937	16063	13765	14243	15530
transcript:EMLSAT00000003672	178	110	34	100	139	145	115	128
transcript:EMLSAT00000003673	0	6	0	0	0	1	0	2
transcript:EMLSAT00000003674	10	10	10	0	6	12	10	12
transcript:EMLSAT00000003675	4	0	0	0	0	0	0	0
transcript:EMLSAT00000003676	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003677	777	323	943	869	1044	1028	1078	815
transcript:EMLSAT00000003678	2	0	8	1	2	32	0	0
transcript:EMLSAT00000003679	0	0	1	2	1	6	2	4
transcript:EMLSAT00000003680	3	12	9	6	2	21	2	8
transcript:EMLSAT00000003681	9441	8980	9288	8106	10051	8168	7288	8410
transcript:EMLSAT00000003683	1585	1215	2084	2072	2028	2240	1996	2052
transcript:EMLSAT00000003490	11125	7619	15218	13256	13972	13748	11623	11491
transcript:EMLSAT00000003491	64	21	267	248	284	295	248	258
transcript:EMLSAT00000003492	1822	1090	2340	2187	2385	2061	1895	2064
transcript:EMLSAT00000003493	1956	1550	1797	1726	1983	2006	1565	1690
transcript:EMLSAT00000003494	458	271	307	339	462	572	244	258
transcript:EMLSAT00000003495	0	0	1	2	2	1	0	3
transcript:EMLSAT00000003496	0	0	0	0	2	1	2	5
transcript:EMLSAT00000003484	190	128	153	259	185	182	160	132
transcript:EMLSAT00000003486	1039	920	1333	1572	1277	1607	1363	1527
transcript:EMLSAT00000003485	742	854	1004	744	1004	917	811	903
transcript:EMLSAT00000003487	682	487	475	476	568	509	463	447
transcript:EMLSAT00000003488	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003489	322	261	169	210	325	180	36	91
transcript:EMLSAT00000003515	805	510	1077	1007	1424	1015	913	967
transcript:EMLSAT00000003501	7	2	16	15	18	12	14	23
transcript:EMLSAT00000003504	2642	1964	3536	3189	4023	3676	3008	3373
transcript:EMLSAT00000003512	1284	1515	1428	1618	1457	1690	1645	1440
transcript:EMLSAT00000003514	877	878	1269	1004	994	1089	1043	947
transcript:EMLSAT00000003502	77	45	132	124	144	210	171	170
transcript:EMLSAT00000003503	0	7	0	7	0	4	0	0
transcript:EMLSAT00000003505	635	973	1589	1269	669	1556	902	989
transcript:EMLSAT00000003506	2583	2179	2435	3167	2348	2889	2331	2472
transcript:EMLSAT00000003507	958	1192	854	761	974	941	738	904
transcript:EMLSAT00000003508	9	0	1	9	2	6	0	11
transcript:EMLSAT00000003516	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003509	15	28	9	9	12	6	10	0
transcript:EMLSAT00000003510	4451	3541	1140	1482	1073	2264	1485	859
transcript:EMLSAT00000003511	16	2	10	6	2	2	8	18
transcript:EMLSAT00000003513	187	122	261	132	183	143	189	195
transcript:EMLSAT00000003498	29	4	12	14	51	15	25	35
transcript:EMLSAT00000003497	0	0	0	3	7	3	1	7
transcript:EMLSAT00000003499	18237	12873	25138	22695	23436	29164	23078	25255
transcript:EMLSAT00000003500	12	16	27	8	30	6	0	2
transcript:EMLSAT00000003521	58	73	54	37	98	123	50	4
transcript:EMLSAT00000003522	196	78	225	237	209	257	229	160
transcript:EMLSAT00000003523	67	27	96	47	102	132	55	95
transcript:EMLSAT00000003524	131	54	344	375	252	291	301	271
transcript:EMLSAT00000003517	740	1545	1486	910	185	535	629	810
transcript:EMLSAT00000003518	2017	561	539	432	492	191	455	316
transcript:EMLSAT00000003519	1	2	2	0	7	9	8	3
transcript:EMLSAT00000003520	216	56	342	218	505	518	304	381
transcript:EMLSAT00000003536	29	53	56	127	103	80	46	88
transcript:EMLSAT00000003528	615	647	621	544	684	569	639	563
transcript:EMLSAT00000003529	529	522	807	641	853	787	733	818
transcript:EMLSAT00000003530	1769	1179	2217	2069	2307	2127	1919	1963
transcript:EMLSAT00000003531	610	504	828	2012	478	1138	1147	742
transcript:EMLSAT00000003532	0	8	0	8	3	2	2	0
transcript:EMLSAT00000003533	523	293	576	741	568	692	515	613
transcript:EMLSAT00000003537	0	0	0	0	1	0	0	0
transcript:EMLSAT00000003534	801	347	926	778	739	757	615	689
transcript:EMLSAT00000003535	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003525	31	40	30	42	12	35	35	39
transcript:EMLSAT00000003526	0	0	40	0	0	0	0	0
transcript:EMLSAT00000003527	19	4	131	23	75	53	153	23
transcript:EMLSAT00000003557	6	10	23	0	12	26	6	4
transcript:EMLSAT00000003543	2008	1786	1454	1007	1352	1938	1282	1937
transcript:EMLSAT00000003544	161	155	159	204	198	151	204	222
transcript:EMLSAT00000003545	0	8	2	1	6	2	4	4
transcript:EMLSAT00000003546	2831	2425	2721	2771	3078	3011	2216	2914
transcript:EMLSAT00000003547	1115	1072	1188	1086	1662	1176	1133	1334
transcript:EMLSAT00000003548	11350	11049	16750	14131	14828	15755	11729	15581
transcript:EMLSAT00000003549	5489	4640	5767	5180	6346	5277	4923	5636
transcript:EMLSAT00000003550	623	504	341	363	255	272	298	223
transcript:EMLSAT00000003551	5704	5972	5693	5589	5327	5477	5087	5135
transcript:EMLSAT00000003552	4348	4480	4650	4612	4196	4497	4121	3939
transcript:EMLSAT00000003553	1751	1643	1812	1900	1709	1492	1491	1774
transcript:EMLSAT00000003554	71881	55277	64604	60805	53431	59665	48287	49420
transcript:EMLSAT00000003555	77	170	169	149	182	174	150	199
transcript:EMLSAT00000003556	49	100	52	57	111	132	128	117
transcript:EMLSAT00000003558	6	0	4	0	5	1	14	0
transcript:EMLSAT00000003559	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003560	25	13	7	6	40	10	149	28
transcript:EMLSAT00000003538	30	11	9	19	5	9	26	25
transcript:EMLSAT00000003539	5	3	0	2	0	1	6	4
transcript:EMLSAT00000003540	4195	4101	4683	4500	4107	4459	3910	4464
transcript:EMLSAT00000003541	8526	8160	9055	9106	9049	8266	7012	9887
transcript:EMLSAT00000003542	6115	5931	6178	6502	6019	5029	4731	6692
transcript:EMLSAT00000003565	49	46	156	66	66	102	47	70
transcript:EMLSAT00000003566	2163	2992	1722	1755	2484	1921	1405	2811
transcript:EMLSAT00000003561	2	0	0	0	0	0	2	0
transcript:EMLSAT00000003562	4	0	0	0	0	0	0	0
transcript:EMLSAT00000003563	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003564	900	745	759	1058	812	1001	928	824
transcript:EMLSAT00000003583	9695	13762	8922	8800	6813	11285	10888	10981
transcript:EMLSAT00000003584	756	622	990	921	999	938	855	1026
transcript:EMLSAT00000003585	395	314	609	502	603	448	475	493
transcript:EMLSAT00000003590	10	14	31	20	13	14	21	9
transcript:EMLSAT00000003579	33	38	59	65	65	66	40	46
transcript:EMLSAT00000003580	736	1025	579	643	603	698	656	659
transcript:EMLSAT00000003581	2296	1023	3539	3975	3235	3702	3211	3248
transcript:EMLSAT00000003582	39	3	61	36	33	31	36	19
transcript:EMLSAT00000003586	1450	1219	1901	1718	1737	1876	1700	1595
transcript:EMLSAT00000003587	3808	3456	2896	2887	3014	3338	3080	2946
transcript:EMLSAT00000003588	6	4	4	2	4	6	0	2
transcript:EMLSAT00000003589	273	155	224	202	235	199	175	190
transcript:EMLSAT00000003569	1551	1208	1381	1216	1474	998	1091	1063
transcript:EMLSAT00000003567	522	297	675	701	679	681	596	616
transcript:EMLSAT00000003568	3346	3978	2970	2784	2923	3194	2294	2822
transcript:EMLSAT00000003573	3705	3507	3480	4300	3098	3269	3141	3040
transcript:EMLSAT00000003574	1151	1022	1369	1273	1328	1303	1310	1252
transcript:EMLSAT00000003570	3972	2505	4347	3638	4258	4039	3350	3173
transcript:EMLSAT00000003571	59995	56622	39601	33668	40763	38093	32093	36303
transcript:EMLSAT00000003572	610	364	746	729	598	621	525	472
transcript:EMLSAT00000003575	110	133	98	98	79	92	85	112
transcript:EMLSAT00000003576	108	118	199	142	218	131	130	128
transcript:EMLSAT00000003577	183	64	124	223	124	140	127	168
transcript:EMLSAT00000003578	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003604	883	1042	834	839	881	891	626	844
transcript:EMLSAT00000003609	2053	1656	2041	1691	2098	2176	2054	2204
transcript:EMLSAT00000003610	2597	3558	2395	2355	2142	2913	3480	2836
transcript:EMLSAT00000003611	558	847	760	1213	912	1169	1164	1010
transcript:EMLSAT00000003612	7129	5764	8828	5684	9475	5787	5780	6406
transcript:EMLSAT00000003613	12204	10358	21429	16516	19560	18767	14171	17749
transcript:EMLSAT00000003614	47	45	21	23	16	19	22	28
transcript:EMLSAT00000003615	788	771	735	662	743	714	674	653
transcript:EMLSAT00000003596	2	0	0	0	2	2	3	0
transcript:EMLSAT00000003597	29	20	10	14	31	13	5	8
transcript:EMLSAT00000003598	243	257	258	148	383	264	213	280
transcript:EMLSAT00000003599	837	586	1116	1117	1128	1278	987	1083
transcript:EMLSAT00000003600	2101	2025	1751	1693	1848	1504	1544	1629
transcript:EMLSAT00000003601	1388	1175	1880	1465	2194	1968	1563	1737
transcript:EMLSAT00000003602	16	16	22	14	38	16	16	11
transcript:EMLSAT00000003603	159	126	240	256	215	247	251	231
transcript:EMLSAT00000003605	18	27	41	39	44	27	24	29
transcript:EMLSAT00000003606	5740	6557	5699	5566	5440	6383	5431	5135
transcript:EMLSAT00000003607	4	4	1	0	0	8	16	4
transcript:EMLSAT00000003608	22841	16047	23830	26311	10116	4090	27812	11588
transcript:EMLSAT00000003592	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003591	8	8	12	9	12	20	12	14
transcript:EMLSAT00000003593	8	14	6	9	25	8	4	12
transcript:EMLSAT00000003594	86	40	214	165	188	210	207	159
transcript:EMLSAT00000003595	215	126	298	380	236	297	286	304
transcript:EMLSAT00000003635	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003636	68	126	73	77	96	148	45	224
transcript:EMLSAT00000003637	4323	2220	5317	5198	5869	5130	5036	5287
transcript:EMLSAT00000003638	44266	39326	48100	41874	57482	36776	38998	41484
transcript:EMLSAT00000003639	79086	52554	101196	86352	117010	73054	82068	81752
transcript:EMLSAT00000003640	25864	10197	39146	32822	43592	26918	31841	29230
transcript:EMLSAT00000003641	1125	1574	1135	1075	1090	1132	1147	1193
transcript:EMLSAT00000003624	1109	896	1325	1375	1192	1487	1263	941
transcript:EMLSAT00000003625	1217	1373	1026	1043	1011	1171	969	1153
transcript:EMLSAT00000003626	8	8	2	6	15	0	0	8
transcript:EMLSAT00000003627	4133	4293	4773	5289	4396	6743	6014	4932
transcript:EMLSAT00000003628	444	346	1562	925	1495	1234	834	1026
transcript:EMLSAT00000003629	0	0	0	0	4	6	0	0
transcript:EMLSAT00000003630	229	238	397	301	417	427	256	414
transcript:EMLSAT00000003631	152	155	160	206	112	191	229	149
transcript:EMLSAT00000003632	73	34	120	141	92	149	233	165
transcript:EMLSAT00000003633	2502	2084	1663	2098	1769	1703	1380	1696
transcript:EMLSAT00000003634	5021	4860	5026	4458	4850	5180	3692	4547
transcript:EMLSAT00000003616	4	0	4	4	8	12	6	7
transcript:EMLSAT00000003618	2800	2734	2636	2333	2781	2450	2012	2299
transcript:EMLSAT00000003619	1562	1214	1494	1318	1734	1251	1172	1223
transcript:EMLSAT00000003617	879	650	1090	1131	1175	1196	910	917
transcript:EMLSAT00000003620	38	5	18	29	27	41	52	42
transcript:EMLSAT00000003621	11359	8435	14523	14073	14241	16197	14468	14113
transcript:EMLSAT00000003623	290	161	403	365	377	262	276	312
transcript:EMLSAT00000003622	107	103	206	169	151	202	149	190
transcript:EMLSAT00000003662	11847	16411	6532	9824	5505	15817	7378	11922
transcript:EMLSAT00000003650	3631	3730	3899	3455	3576	3293	2727	3182
transcript:EMLSAT00000003652	2082	2166	1867	1882	1940	1816	1565	1611
transcript:EMLSAT00000003653	3648	3528	3562	3500	2794	2846	3011	3155
transcript:EMLSAT00000003655	7826	7282	10125	10507	8981	8782	8992	7753
transcript:EMLSAT00000003661	4927	3162	6246	3518	7032	4280	3549	5631
transcript:EMLSAT00000003647	388	235	248	317	272	312	201	270
transcript:EMLSAT00000003648	0	0	0	0	0	0	0	0
transcript:ENSRNA022738060-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003649	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003651	0	0	0	0	0	0	2	0
transcript:EMLSAT00000003654	335	187	251	432	366	442	317	254
transcript:EMLSAT00000003656	1	0	0	0	0	0	0	0
transcript:EMLSAT00000003657	480	183	252	345	316	326	285	373
transcript:EMLSAT00000003658	752	944	1202	860	1099	1160	887	1037
transcript:EMLSAT00000003659	4282	4979	3912	4787	3300	4654	4321	3695
transcript:EMLSAT00000003660	555	562	420	441	292	440	404	364
transcript:EMLSAT00000003642	686	369	1013	829	914	999	880	753
transcript:EMLSAT00000003644	30	46	28	10	9	4	25	12
transcript:EMLSAT00000003643	185	90	211	164	201	159	132	152
transcript:EMLSAT00000003645	4	0	0	1	0	5	0	0
transcript:EMLSAT00000003646	609	841	505	571	597	512	376	577
transcript:EMLSAT00000005597	57	53	80	70	134	58	97	70
transcript:EMLSAT00000005570	706	567	941	886	685	923	785	757
transcript:EMLSAT00000005576	74	60	55	54	86	80	94	89
transcript:EMLSAT00000005585	1966	2454	1921	2636	1364	1842	1808	1569
transcript:EMLSAT00000005599	7044	6216	7074	6656	7746	7758	5479	7432
transcript:EMLSAT00000005600	562	568	666	611	699	709	692	818
transcript:EMLSAT00000005607	14	5	33	21	26	7	24	31
transcript:EMLSAT00000005568	2354	2201	2767	2639	3320	3108	2560	2485
transcript:EMLSAT00000005569	226	287	187	152	181	203	202	215
transcript:EMLSAT00000005571	4273	4393	4052	3545	3772	3621	3123	3672
transcript:EMLSAT00000005573	8438	6646	9927	9151	11606	10316	8335	9990
transcript:EMLSAT00000005574	704	649	779	636	938	902	730	873
transcript:EMLSAT00000005575	3477	2870	3595	3692	4080	3777	2820	3584
transcript:EMLSAT00000005589	1969	1719	2787	2544	2985	2724	2291	2456
transcript:EMLSAT00000005590	1932	1753	2032	1966	1941	1867	1921	2075
transcript:EMLSAT00000005591	713	578	811	696	795	629	566	770
transcript:EMLSAT00000005592	1059	858	1383	1204	1282	1567	1250	1163
transcript:EMLSAT00000005593	1494	1522	1824	1430	1460	1711	1545	1279
transcript:EMLSAT00000005594	10682	9212	14617	15897	17876	9505	14366	17102
transcript:EMLSAT00000005595	2654	2198	3657	3535	3594	3615	3348	3061
transcript:EMLSAT00000005596	807	481	891	781	949	813	641	722
transcript:EMLSAT00000005598	2	0	0	0	0	0	0	0
transcript:EMLSAT00000005601	558	389	896	669	828	720	602	745
transcript:EMLSAT00000005602	933	1103	1263	1487	1099	1827	1456	1474
transcript:EMLSAT00000005603	4	0	2	2	6	1	2	4
transcript:EMLSAT00000005604	7	2	31	6	9	6	14	20
transcript:EMLSAT00000005605	3930	3338	5915	4033	5727	4813	4208	4177
transcript:EMLSAT00000005606	3257	2628	5190	3483	5085	4332	3667	3782
transcript:EMLSAT00000005608	5453	4340	5327	3877	6394	4317	3955	4685
transcript:EMLSAT00000005609	4262	3660	4866	5043	6448	5672	4469	5727
transcript:EMLSAT00000005567	477	397	620	529	565	617	419	320
transcript:ENSRNA022738566-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022738559-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000005572	174	294	204	214	350	232	216	468
transcript:EMLSAT00000005577	651	315	1139	834	1083	1345	876	784
transcript:EMLSAT00000005578	0	2	0	0	0	2	0	0
transcript:EMLSAT00000005579	27	12	8	28	46	33	28	51
transcript:EMLSAT00000005580	317	263	444	340	354	310	346	356
transcript:EMLSAT00000005581	14	6	24	28	24	44	12	28
transcript:EMLSAT00000005582	379	450	366	428	331	268	350	373
transcript:EMLSAT00000005583	8038	5828	7421	5136	9993	5647	5027	6480
transcript:EMLSAT00000005584	5747	2082	6641	4568	8500	4656	4851	5360
transcript:EMLSAT00000005586	986	605	993	983	1043	769	906	880
transcript:EMLSAT00000005587	539	352	640	608	850	675	488	469
transcript:EMLSAT00000005588	594	432	1020	1036	1017	1076	1327	867
transcript:EMLSAT00000003867	11	12	18	3	10	19	2	2
transcript:EMLSAT00000003865	120	80	96	163	277	219	160	228
transcript:EMLSAT00000003866	31	11	34	54	9	18	4	15
transcript:EMLSAT00000003868	288	172	212	190	214	306	295	286
transcript:EMLSAT00000003869	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003870	49	12	16	18	24	52	12	22
transcript:EMLSAT00000003871	19	25	32	20	38	27	17	36
transcript:EMLSAT00000003746	0	0	4	0	0	0	0	0
transcript:EMLSAT00000003737	2	3	16	12	1	19	7	0
transcript:EMLSAT00000003738	117	69	84	148	103	122	54	85
transcript:EMLSAT00000003739	3	32	2	0	10	6	5	18
transcript:EMLSAT00000003740	19	70	36	9	77	69	98	75
transcript:EMLSAT00000003741	94	132	72	108	66	58	100	84
transcript:EMLSAT00000003742	25	30	30	42	38	36	18	42
transcript:EMLSAT00000003743	16	0	6	0	9	4	0	1
transcript:EMLSAT00000003744	4	0	11	10	4	6	8	2
transcript:EMLSAT00000003745	3020	4335	5384	3883	6816	6518	2737	5912
transcript:EMLSAT00000003732	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003733	497	330	656	700	587	762	718	476
transcript:EMLSAT00000003734	233	149	300	312	346	266	257	278
transcript:EMLSAT00000003735	69	37	40	46	60	44	41	51
transcript:EMLSAT00000003736	2	0	0	0	0	4	4	0
transcript:EMLSAT00000003751	525	482	921	1063	856	872	1020	893
transcript:EMLSAT00000003752	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003747	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003748	5010	4420	4768	4067	5325	4579	4001	3820
transcript:EMLSAT00000003749	4589	3504	5435	4085	6127	5036	4336	4676
transcript:EMLSAT00000003750	663	338	1165	978	1339	1133	917	893
transcript:EMLSAT00000003768	1214	1452	1254	1175	1007	1329	1417	1237
transcript:EMLSAT00000003760	3170	2962	4211	4304	3890	5013	4112	4010
transcript:EMLSAT00000003763	465	509	404	461	428	521	351	519
transcript:EMLSAT00000003764	946	707	1159	1282	1195	1540	1208	1432
transcript:EMLSAT00000003759	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003761	68	52	18	58	38	77	16	55
transcript:EMLSAT00000003762	39247	52189	57901	33211	43748	45165	66939	69671
transcript:EMLSAT00000003765	262	241	197	184	170	223	172	227
transcript:EMLSAT00000003766	3834	2934	4906	4141	5274	4581	4123	4450
transcript:EMLSAT00000003767	139	141	92	132	187	191	142	114
transcript:EMLSAT00000003753	1	0	2	1	0	0	0	1
transcript:ENSRNA022736239-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736232-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736245-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736466-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736418-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736431-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736262-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736254-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736275-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736305-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736291-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736404-T1	1	0	0	0	0	0	0	0
transcript:ENSRNA022720895-T1	19	18	5	10	1	1	4	0
transcript:ENSRNA022736316-T1	1	7	0	5	0	0	0	0
transcript:ENSRNA022736385-T1	2	4	0	2	0	0	0	2
transcript:ENSRNA022736396-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736373-T1	0	0	0	1	0	0	0	1
transcript:ENSRNA022736334-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736325-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736351-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736345-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022736362-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003754	9	14	5	0	13	8	6	2
transcript:EMLSAT00000003755	42	82	64	42	42	36	33	35
transcript:EMLSAT00000003756	4	2	2	3	4	12	0	0
transcript:EMLSAT00000003757	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003758	56	92	81	109	108	79	107	118
transcript:ENSRNA022737910-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022737926-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022719817-T1	0	0	0	0	0	0	0	0
transcript:ENSRNA022737920-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003772	0	0	0	2	0	0	0	0
transcript:EMLSAT00000003769	517	540	625	580	280	401	468	223
transcript:EMLSAT00000003770	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003771	18	3	44	20	45	42	49	14
transcript:EMLSAT00000003783	2	0	4	7	2	4	0	5
transcript:EMLSAT00000003775	885	1216	501	532	753	943	603	703
transcript:EMLSAT00000003776	1738	1133	1742	1272	1773	1257	1207	1451
transcript:EMLSAT00000003777	386	324	312	326	329	234	268	262
transcript:EMLSAT00000003778	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003779	451	415	939	699	797	1011	627	856
transcript:ENSRNA022719738-T1	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003780	761	513	894	918	942	889	762	931
transcript:EMLSAT00000003781	1699	1404	1524	1355	1506	1438	1316	1379
transcript:EMLSAT00000003782	2088	1911	2101	1728	2052	2461	1822	1461
transcript:EMLSAT00000003784	346	265	492	437	470	466	476	422
transcript:ENSRNA022737879-T1	0	0	3	0	0	0	0	0
transcript:EMLSAT00000003785	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003773	0	0	1	1	0	0	0	5
transcript:EMLSAT00000003774	0	0	0	0	0	0	0	0
transcript:EMLSAT00000003790	22	4	20	18	27	20	21	27
transcript:EMLSAT00000003793	0	6	0	0	0	0	2	0
